1,2,3,4,5,6,7,8,9,10,Class
2.506000000000000000e+03,9.996569218374826704e-01,5.322731239591686290e+02,3.834829427978659311e+01,3.511705685618728978e-01,1.155000000000000000e+03,8.050829632012399983e+00,3.073734511194201673e+02,3.817910267250165646e+01,4.608938547486033377e-01,0.000000000000000000e+00
3.392000000000000000e+03,9.988101510241583769e-01,5.540487732352790999e+02,5.698035485213009110e+01,5.976095617529880721e-01,2.550000000000000000e+03,1.302651732988371691e+01,2.671139858192831866e+02,2.050540286823290259e+01,7.517688679245283501e-01,0.000000000000000000e+00
2.448000000000000000e+03,9.996851377923793303e-01,5.694102089490162371e+02,4.108911822269767100e+01,4.063745019920319002e-01,1.326000000000000000e+03,7.432341524819851664e+00,2.961996768044741657e+02,3.985280759977638354e+01,5.416666666666666297e-01,0.000000000000000000e+00
1.641000000000000000e+03,9.996583741225516517e-01,4.552731239591686290e+02,3.483385258814491436e+01,5.341928251121076388e-01,9.530000000000000000e+02,6.577344415308840730e+00,2.516502120076488893e+02,3.826015426863313706e+01,5.807434491163924184e-01,0.000000000000000000e+00
8.560000000000000000e+02,9.803332701933744620e-01,1.531543289325506976e+02,2.903247455203702998e+01,4.309895833333333148e-01,6.620000000000000000e+02,1.401792748265830646e+01,7.103110836835132602e+01,5.067161922204583391e+00,7.733644859813083583e-01,0.000000000000000000e+00
2.108000000000000000e+03,9.994233475318878845e-01,5.176396103067892227e+02,4.651057929659704371e+01,6.823293172690763075e-01,1.699000000000000000e+03,8.917679359074931256e+00,2.626288281212126776e+02,2.945035558538586784e+01,8.059772296015180748e-01,0.000000000000000000e+00
1.770000000000000000e+03,9.996468473131839838e-01,4.980243866176394931e+02,3.582492792865107845e+01,3.740259740259740395e-01,1.008000000000000000e+03,6.912489828258701507e+00,2.601217077015710970e+02,3.763068216580614234e+01,5.694915254237288282e-01,0.000000000000000000e+00
8.090000000000000000e+02,9.993428376758261011e-01,3.012253967444161731e+02,2.631809856991816332e+01,5.396825396825396526e-01,5.440000000000000000e+02,5.461942376030685331e+00,1.506840033365154170e+02,2.758798847783173258e+01,6.724351050679852060e-01,0.000000000000000000e+00
2.212000000000000000e+03,9.993745534732036973e-01,5.283502884254440914e+02,4.760636921283317236e+01,6.631892697466468256e-01,1.780000000000000000e+03,9.324408375500128798e+00,2.636811675350572273e+02,2.827859494312573929e+01,8.047016274864375873e-01,0.000000000000000000e+00
2.638000000000000000e+03,9.994036468130707007e-01,5.609188309203677818e+02,4.842837227702548120e+01,5.283993115318416089e-01,1.842000000000000000e+03,9.372743135975042605e+00,2.714342851443076938e+02,2.895996200967802281e+01,6.982562547384382201e-01,0.000000000000000000e+00
1.728000000000000000e+03,9.996064912809987657e-01,4.680243866176395500e+02,4.088720487190667541e+01,7.426470588235294379e-01,1.313000000000000000e+03,7.297886896428881442e+00,2.601642865933744133e+02,3.564926262706018889e+01,7.598379629629629095e-01,0.000000000000000000e+00
2.350000000000000000e+03,9.988316904524261464e-01,4.539533188057740745e+02,5.032368681325165483e+01,7.709302325581395277e-01,1.989000000000000000e+03,1.134986054613846207e+01,2.348677835587012339e+02,2.069345104320332496e+01,8.463829787234042890e-01,0.000000000000000000e+00
1.789000000000000000e+03,9.997147148990690457e-01,5.014680374315354925e+02,3.984632620813050607e+01,5.701874714220392937e-01,1.247000000000000000e+03,6.559867953902201343e+00,2.746448948135050614e+02,4.186744256797575758e+01,6.970374510899943754e-01,0.000000000000000000e+00
2.762000000000000000e+03,9.987458758629453870e-01,4.827350647362942482e+02,5.098975534702242385e+01,5.227854582693292063e-01,2.042000000000000000e+03,1.197930757563420912e+01,2.392669217513241051e+02,1.997335156816497559e+01,7.393193338160752859e-01,0.000000000000000000e+00
7.540000000000000000e+02,9.791502892219785537e-01,1.583553390593273491e+02,2.733846397952051177e+01,5.743639921722113462e-01,5.870000000000000000e+02,1.335671703684334943e+01,6.575220492408637085e+01,4.922781903870134812e+00,7.785145888594164898e-01,0.000000000000000000e+00
